X,Y,Station
55.751432,37.716621,Авиамоторная
55.706634,37.657008,Автозаводская
55.687660,37.573339,Академическая
55.752075,37.609308,Александровский сад
55.807800,37.638737,Алексеевская
55.633490,37.765678,Алма-Атинская
55.898376,37.587344,Алтуфьево
55.583657,37.596812,Аннино
55.752516,37.604116,Арбатская
55.752131,37.601519,Арбатская
55.800261,37.532870,Аэропорт
55.869794,37.664581,Бабушкинская
55.743801,37.497863,Багратионовская
55.760818,37.581280,Баррикадная
55.772406,37.679035,Бауманская
55.773505,37.545518,Беговая
55.777170,37.586194,Белорусская
55.777439,37.582107,Белорусская
55.642357,37.526115,Беляево
55.883868,37.603011,Бибирево
55.752501,37.611482,Библиотека имени Ленина
55.601188,37.555328,Битцевский парк
55.633587,37.743831,Борисово
55.750454,37.609254,Боровицкая
55.844597,37.637811,Ботанический сад
55.659460,37.750514,Братиславская
55.545207,37.542329,Бульвар адмирала Ушакова
55.569667,37.577346,Бульвар Дмитрия Донского
55.814264,37.735117,Бульвар Рокоссовского
55.537964,37.515919,Бунинская аллея
55.653294,37.619522,Варшавская
55.821401,37.641090,ВДНХ
55.847922,37.590282,Владыкино
55.840209,37.486616,Водный стадион
55.818923,37.497791,Войковская
55.724900,37.687102,Волгоградский проспект
55.690446,37.754314,Волжская
55.835508,37.382034,Волоколамская
55.710438,37.559317,Воробьёвы горы
55.749547,37.543021,Выставочная
55.715682,37.817969,Выхино
55.748843,37.542671,Деловой центр
55.789704,37.558212,Динамо
55.807881,37.580831,Дмитровская
55.729012,37.622711,Добрынинская
55.610697,37.717905,Домодедовская
55.781484,37.614716,Достоевская
55.718070,37.676259,Дубровка
55.684539,37.855123,Жулебино
55.612329,37.745205,Зябликово
55.787746,37.781380,Измайловская
55.656682,37.540075,Калужская
55.636107,37.656218,Кантемировская
55.653177,37.598232,Каховская
55.655432,37.649256,Каширская
55.655432,37.649256,Каширская
55.744596,37.567545,Киевская
55.744075,37.566449,Киевская
55.743117,37.564132,Киевская
55.756498,37.631326,Китай-город
55.754360,37.633877,Китай-город
55.706320,37.685710,Кожуховская
55.677423,37.663719,Коломенская
55.775672,37.654772,Комсомольская
55.774072,37.654565,Комсомольская
55.633658,37.520024,Коньково
55.613717,37.746355,Красногвардейская
55.760211,37.577211,Краснопресненская
55.779849,37.666072,Красносельская
55.768795,37.648888,Красные ворота
55.732464,37.664788,Крестьянская застава
55.745068,37.603487,Кропоткинская
55.756842,37.408139,Крылатское
55.761598,37.623780,Кузнецкий мост
55.705417,37.765902,Кузьминки
55.730877,37.446874,Кунцевская
55.730634,37.445123,Кунцевская
55.758463,37.660287,Курская
55.758640,37.659155,Курская
55.740178,37.534236,Кутузовская
55.707689,37.586239,Ленинский проспект
55.701765,37.852275,Лермонтовский проспект
55.581968,37.577310,Лесопарковая
55.759162,37.627346,Лубянка
55.676265,37.762003,Люблино
55.740993,37.656802,Марксистская
55.793723,37.616180,Марьина роща
55.649368,37.744118,Марьино
55.769808,37.596192,Маяковская
55.887473,37.661527,Медведково
55.748640,37.533041,Международная
55.781788,37.598735,Менделеевская
55.846098,37.361220,Митино
55.741004,37.416386,Молодёжная
55.823990,37.384747,Мякинино
55.683676,37.623061,Нагатинская
55.672854,37.610745,Нагорная
55.662379,37.605274,Нахимовский проспект
55.751675,37.817295,Новогиреево
55.745113,37.864052,Новокосино
55.742276,37.629125,Новокузнецкая
55.779565,37.601421,Новослободская
55.601833,37.553442,Новоясеневская
55.670077,37.554493,Новые Черёмушки
55.731257,37.612766,Октябрьская
55.729255,37.610979,Октябрьская
55.793581,37.493317,Октябрьское поле
55.612690,37.695214,Орехово
55.863384,37.604843,Отрадное
55.756523,37.615327,Охотный ряд
55.731536,37.636329,Павелецкая
55.729787,37.638961,Павелецкая
55.736077,37.595061,Парк культуры
55.735150,37.592905,Парк культуры
55.736164,37.516925,Парк Победы
55.736478,37.514401,Парк Победы
55.788424,37.749265,Партизанская
55.794376,37.799364,Первомайская
55.751320,37.786887,Перово
55.836524,37.575558,Петровско-Разумовская
55.692972,37.728398,Печатники
55.735986,37.467078,Пионерская
55.860529,37.436382,Планерная
55.747024,37.680589,Площадь Ильича
55.756741,37.622360,Площадь Революции
55.777201,37.517895,Полежаевская
55.736807,37.618471,Полянка
55.611577,37.603972,Пражская
55.796167,37.715022,Преображенская площадь
55.731546,37.666917,Пролетарская
55.676910,37.505831,Проспект Вернадского
55.781757,37.633482,Проспект Мира
55.779631,37.633464,Проспект Мира
55.677671,37.562595,Профсоюзная
55.765747,37.603900,Пушкинская
55.855644,37.354025,Пятницкое шоссе
55.854891,37.476231,Речной вокзал
55.792513,37.636123,Рижская
55.746228,37.681254,Римская
55.717366,37.793606,Рязанский проспект
55.793313,37.588296,Савёловская
55.855558,37.653379,Свиблово
55.651552,37.598384,Севастопольская
55.783195,37.719423,Семёновская
55.726680,37.625199,Серпуховская
55.729828,37.472171,Славянский бульвар
55.749060,37.581658,Смоленская
55.747642,37.583841,Смоленская
55.805042,37.514787,Сокол
55.789198,37.679700,Сокольники
55.817234,37.434801,Спартак
55.722761,37.562227,Спортивная
55.766299,37.636374,Сретенский бульвар
55.803691,37.403118,Строгино
55.738784,37.548375,Студенческая
55.772315,37.632332,Сухаревская
55.850510,37.439787,Сходненская
55.742433,37.653146,Таганская
55.739199,37.653613,Таганская
55.764455,37.605939,Тверская
55.758808,37.617680,Театральная
55.709211,37.732117,Текстильщики
55.618730,37.505912,Тёплый Стан
55.818660,37.574498,Тимирязевская
55.741125,37.626142,Третьяковская
55.740319,37.625981,Третьяковская
55.767939,37.621902,Трубная
55.708841,37.622612,Тульская
55.765276,37.636742,Тургеневская
55.827080,37.437604,Тушинская
55.764273,37.561419,Улица 1905 года
55.595883,37.600675,Улица академика Янгеля
55.541825,37.531226,Улица Горчакова
55.548034,37.554618,Улица Скобелевская
55.568838,37.576708,Улица Старокачаловская
55.692440,37.534532,Университет
55.739519,37.483328,Филёвский парк
55.745970,37.514949,Фили
55.727232,37.580328,Фрунзенская
55.620982,37.669612,Царицыно
55.771616,37.620986,Цветной бульвар
55.802988,37.744819,Черкизовская
55.640538,37.606065,Чертановская
55.765843,37.608167,Чеховская
